Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
BinSet Name	PowerPlex_Fusion_6C_Bins_IDX_v1.2			
Panel Name	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
Marker Name	AMEL			
19.2	166.07	0.4	0.4	
19.3	167.09	0.4	0.4	virtual
20	168.11	0.4	0.4	
20.1	169.14	0.4	0.4	virtual
20.2	170.17	0.4	0.4	
20.3	171.19	0.4	0.4	virtual
21	172.21	0.4	0.4	
21.1	173.24	0.4	0.4	virtual
21.2	174.26	0.4	0.4	
21.3	175.28	0.4	0.4	virtual
22	176.29	0.4	0.4	
22.1	177.32	0.4	0.4	virtual
22.2	178.35	0.4	0.4	
22.3	179.37	0.4	0.4	virtual
23	180.38	0.4	0.4	
23.1	181.4	0.4	0.4	virtual
23.2	182.42	0.4	0.4	
23.3	183.44	0.4	0.4	virtual
24	184.46	0.4	0.4	
24.1	185.49	0.4	0.4	virtual
24.2	186.51	0.4	0.4	
24.3	187.53	0.4	0.4	virtual
25	188.54	0.4	0.4	
25.1	189.56	0.4	0.4	virtual
25.2	190.58	0.4	0.4	
25.3	191.6	0.4	0.4	virtual
26	192.62	0.4	0.4	
26.1	193.64	0.4	0.4	virtual
26.2	194.66	0.4	0.4	virtual
26.3	195.67	0.4	0.4	virtual
27	196.69	0.4	0.5	
27.2	198.72	0.5	0.4	virtual
27.3	199.73	0.4	0.4	virtual
28	200.74	0.4	0.5	
28.2	202.78	0.5	0.4	virtual
28.3	203.8	0.4	0.4	virtual
29	204.82	0.4	0.4	
29.1	205.84	0.4	0.4	virtual
29.2	206.86	0.4	0.5	virtual
30	208.89	0.5	0.5	
30.2	210.88	0.5	0.5	virtual
31	212.86	0.5	0.5	virtual
31.2	214.85	0.5	0.5	
32	216.9	0.5	0.5	virtual
32.2	218.95	0.5	0.5	
33.2	223.04	0.5	0.5	
34.2	227.14	0.5	0.5	virtual
41.2	256.32	0.5	0.5	virtual
42.2	260.42	0.5	0.5	
43.2	264.57	0.5	0.5	
44.2	268.63	0.5	0.5	
45.2	272.78	0.5	0.5	
46.2	276.84	0.5	0.5	
47.2	280.82	0.5	0.5	virtual
48.2	284.8	0.5	0.5	
49.2	288.83	0.5	0.5	virtual
50.2	292.86	0.5	0.5	
51.2	296.87	0.5	0.5	virtual
Marker Name	DYS576			
10	306.29	0.5	0.5	virtual
11	310.24	0.5	0.5	
12	314.17	0.5	0.5	
13	318.13	0.5	0.5	
14	322.08	0.5	0.5	
15	326.06	0.5	0.5	
15.2	328.05	0.5	0.5	virtual
16	330.03	0.5	0.5	
16.3	333.02	0.5	0.4	virtual
17	334.01	0.4	0.5	
18	337.98	0.5	0.5	
18.2	339.98	0.5	0.5	virtual
19	341.97	0.5	0.5	
20	345.92	0.5	0.5	
21	349.88	0.5	0.5	
22	353.76	0.5	0.5	
23	357.64	0.5	0.5	
24	361.52	0.5	0.5	virtual
Marker Name	DYS570			
9	389.22	0.5	0.5	virtual
10	393.16	0.5	0.5	
11	397.1	0.5	0.5	
12	401	0.5	0.5	
13	404.85	0.5	0.5	
13.2	406.78	0.5	0.5	virtual
14	408.7	0.5	0.5	
14.2	410.62	0.5	0.5	virtual
15	412.53	0.5	0.5	
