Version	GMID-X v 1.0								
Chemistry Kit	PowerPlexY23_Panels_IDX_v2.0								
BinSet Name	PowerPlexY23_Bins_IDX_v2.0								
Panel Name	PowerPlexY23_IDX_v2.0								
Marker Name	DYS576								
18	190.94	0.4	0.4						
18.1	191.92	0.4	0.4	virtual					
18.2	192.89	0.4	0.4	virtual					
18.3	193.87	0.4	0.4	virtual					
19	194.84	0.4	0.4						
19.1	195.82	0.4	0.4	virtual					
19.2	196.8	0.4	0.5	virtual					
20	198.75	0.5	0.4						
20.1	199.73	0.4	0.4	virtual					
20.2	200.7	0.4	0.5	virtual					
21	202.65	0.5	0.4						
21.1	203.63	0.4	0.4	virtual					
21.2	204.62	0.4	0.5	virtual					
22	206.58	0.5	0.5						
22.2	208.54	0.5	0.5	virtual					
23	210.49	0.5	0.5						
23.2	212.45	0.5	0.5	virtual					
24	214.4	0.5	0.5						
Marker Name	DYS385 a/b								
6	222.27	0.5	0.5	virtual					
7	226.39	0.5	0.5						
8	230.51	0.5	0.5						
8.3	233.61	0.5	0.4	virtual					
9	234.64	0.4	0.4						
9.1	235.67	0.4	0.4	virtual					
9.2	236.71	0.4	0.4	virtual					
9.3	237.74	0.4	0.4	virtual					
10	238.77	0.4	0.4						
10.1	239.8	0.4	0.4	virtual					
10.2	240.84	0.4	0.5	virtual					
11	242.9	0.5	0.5						
11.2	244.97	0.5	0.4	virtual					
11.3	246	0.4	0.4	virtual					
12	247.03	0.4	0.4						
12.1	248.06	0.4	0.4	virtual					
12.2	249.1	0.4	0.4	virtual					
12.3	250.13	0.4	0.4	virtual					
13	251.16	0.4	0.4						
13.1	252.2	0.4	0.4	virtual					
13.2	253.24	0.4	0.4	virtual					
13.3	254.28	0.4	0.4	virtual					
14	255.32	0.4	0.5						
14.2	257.39	0.5	0.4	virtual					
14.3	258.42	0.4	0.4	virtual					
15	259.45	0.4	0.4						
15.1	260.48	0.4	0.4	virtual					
15.2	261.51	0.4	0.4	virtual					
15.3	262.53	0.4	0.4	virtual					
16	263.56	0.4	0.4						
16.1	264.59	0.4	0.4	virtual					
16.2	265.63	0.4	0.4	virtual					
16.3	266.66	0.4	0.4	virtual					
17	267.69	0.4	0.4						
17.1	268.71	0.4	0.4	virtual					
17.2	269.74	0.4	0.4	virtual					
17.3	270.76	0.4	0.4	virtual					
18	271.78	0.4	0.4						
18.1	272.8	0.4	0.4	virtual					
18.2	273.83	0.4	0.5	virtual					
19	275.87	0.5	0.4						
19.1	276.88	0.4	0.4	virtual					
19.2	277.88	0.4	0.4	virtual					
19.3	278.89	0.4	0.4	virtual					
20	279.89	0.4	0.5						
20.2	281.91	0.5	0.5	virtual					
21	283.92	0.5	0.5						
22	287.94	0.5	0.5						
23	291.96	0.5	0.5						
24	295.97	0.5	0.5						
25	299.99	0.5	0.5						
26	304.03	0.5	0.5						
27	308.1	0.5	0.5						
28	312.18	0.5	0.5						
Marker Name	DYS456								
10	314.86	0.5	0.5	virtual					
11	318.93	0.5	0.5						
12	323	0.5	0.5						
13	327.09	0.5	0.5						
14	331.18	0.5	0.5						
15	335.28	0.5	0.4						
15.1	336.3	0.4	0.5	virtual					
15.3	338.35	0.5	0.4	virtual					
16	339.37	0.4	0.4						
16.1	340.4	0.4	0.5	virtual					
16.3	342.46	0.5	0.4	virtual					
17	343.49	0.4	0.5						
18	347.57	0.5	0.5						
18.2	349.6	0.5	0.4	virtual					
18.3	350.61	0.4	0.4	virtual					
19	351.62	0.4	0.4						
19.1	352.62	0.4	0.5	virtual					
20	355.62	0.5	0.5						
21	359.62	0.5	0.5						
22	363.64	0.5	0.5						
23	367.64	0.5	0.5						
24	371.64	0.5	0.5	virtual					
Marker Name	Y-GATA-H4								
7	373.28	0.5	0.5	virtual					
8	377.38	0.5	0.5						
9	381.48	0.5	0.5						
10	385.58	0.5	0.5						
11	389.66	0.5	0.5						
11.2	391.7	0.5	0.4	virtual					
11.3	392.72	0.4	0.4	virtual					
12	393.74	0.4	0.5						
13	397.82	0.5	0.5						
14	401.85	0.5	0.4						
14.1	402.85	0.4	0.5	virtual					
15	405.83	0.5	0.4						
15.1	406.83	0.4	0.5	virtual					
16	409.83	0.5	0.5						
17	413.82	0.5	0.5						
18	417.8	0.5	0.5						
