Version	GMID-X v 1.0											
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v2.0											
BinSet Name	PowerPlex_Fusion_Bins_IDX_v2.0											
Panel Name	PowerPlex_Fusion_Panels_IDX_v2.0											
Marker Name	AMEL											
13.3	101.03	0.4	0.4	virtual								
14	102.11	0.4	0.4									
14.1	103.21	0.4	0.5	virtual								
15	106.49	0.5	0.4									
15.1	107.58	0.4	0.5	virtual								
15.3	109.77	0.5	0.4	virtual								
16	110.86	0.4	0.5									
17	115.3	0.5	0.5									
18	119.55	0.5	0.5									
19	123.92	0.5	0.5									
20	128.29	0.5	0.5	virtual								
Marker Name	D12S391											
13	129.85	0.4	0.5	virtual								
14	134.02	0.5	0.5									
15	138.19	0.5	0.5									
16	142.33	0.5	0.5									
17	146.5	0.5	0.5									
17.1	147.53	0.4	0.5	virtual								
17.3	149.59	0.5	0.5									
18	150.65	0.4	0.5									
18.1	151.68	0.4	0.5	virtual								
18.3	153.73	0.5	0.5									
19	154.8	0.4	0.5									
19.1	155.84	0.4	0.5	virtual								
19.3	157.91	0.5	0.5	virtual								
20	158.95	0.4	0.5									
20.1	159.98	0.4	0.5	virtual								
20.3	162.05	0.5	0.5	virtual								
21	163.08	0.4	0.5									
21.3	166.16	0.5	0.5	virtual								
22	167.18	0.4	0.5									
22.3	170.34	0.5	0.5	virtual								
23	171.39	0.4	0.5									
24	175.47	0.5	0.5									
24.3	178.49	0.5	0.5	virtual								
25	179.5	0.4	0.5									
26	183.6	0.5	0.5									
27	187.67	0.5	0.5									
Marker Name	D19S433											
5.2	192.74	0.5	0.5									
6	194.74	0.5	0.5	virtual								
6.2	196.74	0.5	0.5									
7	198.74	0.5	0.5	virtual								
8	202.73	0.5	0.5									
8.2	204.73	0.5	0.5	virtual								
9	206.73	0.5	0.5									
9.2	208.73	0.5	0.5	virtual								
10	210.73	0.5	0.5									
10.2	212.74	0.5	0.5	virtual								
11	214.74	0.5	0.4									
11.1	215.74	0.4	0.4	virtual								
11.2	216.75	0.4	0.5	virtual								
12	218.75	0.5	0.4									
12.1	219.76	0.4	0.4	virtual								
12.2	220.76	0.4	0.5									
13	222.76	0.5	0.4									
13.1	223.77	0.4	0.4	virtual								
13.2	224.77	0.4	0.5									
14	226.77	0.5	0.4									
14.1	227.79	0.4	0.4	virtual								
14.2	228.8	0.4	0.4									
14.3	229.8	0.4	0.4	virtual								
15	230.8	0.4	0.5									
15.2	232.83	0.5	0.5									
16	234.83	0.5	0.4									
16.1	235.85	0.4	0.4	virtual								
16.2	236.86	0.4	0.5									
17	238.85	0.5	0.5									
17.2	240.9	0.5	0.5									
18	242.88	0.5	0.5									
18.1	243.91	0.4	0.4	virtual								
18.2	244.94	0.5	0.5									
19	247	0.5	0.5	virtual								
19.2	249.06	0.5	0.5	virtual								
Marker Name	FGA											
12.2	261.36	0.5	0.5	virtual								
13	263.32	0.5	0.5	virtual								
14	267.25	0.5	0.5									
