Version	GMID-X v 1.0						
Chemistry Kit	PowerPlex_18D_Panels_IDX_v2.0						
BinSet Name	PowerPlex_18D_Bins_IDX_v2.0						
Panel Name	PowerPlex_18D_IDX_v2.0						
Marker Name	D3S1358						
19.3	266.29	0.5	0.4	virtual			
20	267.31	0.4	0.5				
21	271.37	0.5	0.5				
22	275.43	0.5	0.5				
22.2	277.42	0.5	0.5	virtual			
23	279.4	0.5	0.5				
23.2	281.4	0.5	0.4	virtual			
23.3	282.4	0.4	0.4	virtual			
24	283.4	0.4	0.5				
24.2	285.38	0.5	0.5	virtual			
25	287.36	0.5	0.5				
26	291.34	0.5	0.5				
27	295.32	0.5	0.5				
28	299.26	0.5	0.5				
29	303.2	0.5	0.5	virtual			
