Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
BinSet Name	PowerPlex_Fusion_POP7_Bins_IDX_v2.0			
Panel Name	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
Marker Name	AMEL			
9	416.11	0.5	0.5	
10	420.13	0.5	0.4	
10.1	421.13	0.4	0.5	virtual
10.3	423.14	0.5	0.4	virtual
11	424.14	0.4	0.5	
12	428.16	0.5	0.5	
13	432.25	0.5	0.5	
14	436.33	0.5	0.5	
15	440.39	0.5	0.5	
16	444.44	0.5	0.5	
Marker Name	DYS391			
5	448.84	0.5	0.5	
6	452.86	0.5	0.5	
7	456.86	0.5	0.5	
8	460.88	0.5	0.5	
8.3	463.87	0.5	0.5	virtual
9	464.87	0.4	0.5	
10	468.87	0.5	0.5	
11	472.87	0.5	0.5	
12	476.87	0.5	0.5	
13	480.92	0.5	0.5	
14	484.97	0.5	0.5	
15	489.05	0.5	0.5	
16	493.12	0.5	0.5	
Marker Name	D8S1179			
6	69.67	0.5	0.5	virtual
7	74.21	0.5	0.5	
8	78.75	0.5	0.5	
9	83.24	0.5	0.5	
10	87.74	0.5	0.5	
11	92.19	0.5	0.5	
12	96.64	0.5	0.5	
12.3	100.04	0.5	0.4	virtual
13	101.17	0.4	0.5	
13.2	103.42	0.5	0.4	virtual
13.3	104.55	0.4	0.4	virtual
14	105.67	0.4	0.4	
14.1	106.79	0.4	0.5	virtual
15	110.13	0.5	0.4	
15.1	111.24	0.4	0.5	virtual
15.3	113.46	0.5	0.4	virtual
16	114.57	0.4	0.5	
17	119.06	0.5	0.5	
18	123.26	0.5	0.5	
19	127.65	0.5	0.5	
Marker Name	D12S391			
14	137.58	0.5	0.5	
15	141.75	0.5	0.5	
16	145.94	0.5	0.5	
17	150.1	0.5	0.5	
17.1	151.13	0.4	0.5	virtual
17.3	153.18	0.5	0.5	
18	154.29	0.4	0.5	
18.1	155.31	0.4	0.5	virtual
18.3	157.34	0.5	0.5	
19	158.44	0.4	0.5	
19.1	159.47	0.4	0.5	virtual
19.3	161.54	0.5	0.5	virtual
20	162.57	0.4	0.5	
20.1	163.59	0.4	0.5	virtual
20.3	165.64	0.5	0.5	virtual
21	166.66	0.4	0.5	
21.3	169.75	0.5	0.5	virtual
22	170.78	0.4	0.5	
22.3	173.95	0.5	0.5	virtual
23	175	0.4	0.5	
24	179.08	0.5	0.5	
24.3	182.1	0.5	0.5	virtual
25	183.1	0.4	0.5	
26	187.23	0.5	0.5	
27	191.31	0.5	0.5	
Marker Name	D19S433			
5.2	195.14	0.5	0.5	
6	197.12	0.5	0.5	virtual
6.2	199.1	0.5	0.5	
7	201.06	0.5	0.5	virtual
8	204.99	0.5	0.5	
8.2	206.96	0.5	0.5	virtual
9	208.92	0.5	0.5	
9.2	210.9	0.5	0.5	virtual
10	212.87	0.5	0.5	
10.2	214.84	0.5	0.5	virtual
11	216.81	0.5	0.4	
11.1	217.8	0.4	0.4	virtual
11.2	218.79	0.4	0.5	virtual
12	220.77	0.5	0.4	
12.1	221.77	0.4	0.4	virtual
12.2	222.77	0.4	0.5	
13	224.71	0.5	0.4	
13.1	225.71	0.4	0.4	virtual
13.2	226.7	0.4	0.5	
14	228.66	0.5	0.4	
14.1	229.66	0.4	0.4	virtual
14.2	230.65	0.4	0.4	
14.3	231.64	0.4	0.4	virtual
15	232.63	0.4	0.5	
15.2	234.63	0.5	0.5	
